Market,Address,City
South Cariboo Farmers’ Market,275 Wranglers Way,100 Mile House
Lillooet Farmers’ Market,620 Main St.,Lilooet
Two Rivers Farmers’ Market,380 Main St.,Lytton
McLeese Lake Farmers’ Market,6561 Macalister Road,Cariboo D
Quesnel Farmers’ Market,Corner of Carson Avenue and Kinchant Street,Quesnel
Cariboo Direct Farm Market in Williams Lake,525 Proctor St.,Williams Lake
Downtown Farmers Market,750 Hornby St.,Vancouver
False Creek Farmers Market,50 Pacific Blvd,Vancouver
Granville Island Farmers’ Market,1404 Anderson St.,Vancouver
Hastings Park Winter Farmers’ Market,2901 East Hastings St.,Vancouver
Kitsilano Farmers’ Market,2690 Larch St.,Vancouver
Mount Pleasant Farmers’ Market,8th Ave & Guelph St,Vancouver
Riley Park Farmers’ Market - Summer,50 East 30th Ave.,Vancouver
Riley Park Farmers’ Market – Winter,4601 Ontario St.,Vancouver
Trout Lake Farmers’ Market (East Van),Lakewood Dr. & E 13th Ave,Vancouver
UBC Farm Saturday Farmers’ Market,3461 Ross Dr.,Vancouver
West End Farmers’ Market,1100 Comox St.,Vancouver
Abbotsford Farm & Country Market,2552 McCallum Rd,Abbotsford
Downtown Chilliwack Community Market,9360 Mill St.,Chilliwack
The Eco Market,Sardis Park,Chilliwack
Mission City Farmers’ Market,7337 Welton St,Mission
Cranbrook Farmer’s Market,10th Ave. South,Cranbrook
Creston Valley Farmers’ Market - Summer,111 Northwest Blvd.,Creston
Creston Valley Farmers’ Market – Winter,312 19th Ave. North,Creston
Fernie Mountain Market,Rotary Park,Fernie
Golden Farmers’ Market - Summer,550 8th Ave North,Golden
Golden Farmers’ Market – Winter,Golden Mt. 7 Rec. Plex,Golden
Grand Forks Farmers’ Market,7370 5th St.,Grand Forks
Agri Park Farmers’ Market,"553 Hwy. 93 & 95, Windermere",Invermere
Kaslo Saturday Market,450 Front St.,Kaslo
Kimberley Farmers’ Market,Howard St. between Kimberley Ave. and Wallinger Ave.,Kimberley
Nakusp Farmers’ Market,608 Broadway Street,Nakusp
Nelson Farmers’ Market,199 Carbonate St,Nelson
New Denver Friday Market,317 6th Avenue,New Denver
Revelstoke Farm and Craft Market,Grizzly Plaza,Revelstoke
Revelstoke Local Food Initiative Farmers’ Market,Centennial Park,Revelstoke
Trail’s IncrEDIBLE Farmers’ Market,Helena St. and Bay Ave.,Trail
Valemount Farmers’ Market,735 Cranberry Lake Rd.,Valemount
Bowen Island Farmers’ Market,1041 Mt Gardner Rd,Bowen Island
Burnaby Farmers’ Market,4949 Canada Way,Burnaby
Nikkei Garden Farmers Market,6688 Southoaks Crescent,Burnaby
Coquitlam Farmers Market,575 Poirier Street,Coquitlam
Ladner Village Market,48th Ave.,Delta
Fort Langley Village Farmers’ Market,9025 Glover Rd.,Fort Langley
Langley Community Farmers’ Market,21559 Fraser Hwy.,Langley
Haney Farmers’ Market,11925 Haney Place,Maple Ridge
New West Farmers’ Market,315 Queens Ave.,New Westminster
Lonsdale Quay Farmers’ Market,123 Carrie Cates Court,North Vancouver
Loutet Farm Community Market,1400 Rufus Ave,North Vancouver
Port Coquitlam Farmers’ Market,2580 Shaughnessy St.,Port Coquitlam
Port Moody Summer Farmers Market,300 Ioco Rd.,Port Moody
Kwantlen St. Market – Richmond,7000 Minoru Boulevard,Richmond
Surrey Urban Farmers’ Market,104th Ave. & Old Yale Rd.,Surrey
Ambleside Farmers’ Market,1000 Argyle Ave.,West Vancouver
White Rock Farmers’ Market,15154 Russell Ave.,White Rock
Burns Lake Farmers’ Market,258 Hwy 16,Burns Lake
Chetwynd Farmers’ Market,2005 John Hart Hwy,Chetwynd
Fort Nelson Farmers’ Market,5431 50th Ave S,Fort Nelson
Masset Farmers’ Market,1575 Main St. Masset,Haida Gwaii
Moresby Market,ALM School ,Haida Gwaii
Queen Charlotte Farmers’ Market,The Gather Restaurant,Haida Gwaii
Tlell Farmers’ Market,Hwy. 16,Haida Gwaii
Hazelton Farmers’ Market,Hwy. 16 & Hwy. 62,New Hazelton
Houston Farmers’ Market,"Steelhead Park, Highway 16",Houston
Prince George Farmers’ Market,1310 3rd Ave.,Prince George
Wilson Square: Prince George’s Community Farmers’ Market,250 George St.,Prince George
Bulkley Valley Farmers’ Market,Main St. & Hwy. 16,Smithers
Skeena Valley Farmers’ Market,Market St. and Park Ave.,Terrace
Vanderhoof Farmers’ Market,Church Ave.,Vanderhoof
Pemberton Farmers’ Market,7444 Frontier St.,Pemberton
Squamish Farmers’ Market,37996 Cleveland Ave,Squamish
Whistler Farmers’ Market,4545 Blackcomb Way,Whistler
Gambier Island Farmers Market,356 Vanguard Ave.,Gambier Island
Gibsons Farmers’ Market,1053 Stewart Rd,Gibsons
Powell River Farmers’ Market,4365 McLeod Rd.,Powell River
The Farmgate Market,1319 Roberts Creek Rd.,Roberts Creek
Savary Island Farmers’ Market,2778 Brian's Way,Savary Island
Sechelt Farmers’ and Artisans’ Market,5800 Cowrie Street,Sechelt
Sechelt Farmers’ and Artisans’ Market – Winter,5790 Teredo St,Sechelt
Armstrong Farmers’ Market,3375 Pleasant Valley Rd.,Armstrong
Armstrong Winter Farmers’ Market,3005 Wood Avenue,Armstrong
Barriere Farmers’ Market,4307 Yellowhead Hwy. 5 South,Barriere
Barriere Farmers’ Market – Winter,4431 Barriere Town Rd.,Barriere
Celista Hall Farmers’ Market,5456 Squilax-Anglemont Rd.,Celista
Chase Farm and Craft Market,200 Shuswap Avenue,Chase
Clearwater Farmers’ Market,209 Dutch Lake Rd,Clearwater
Kamloops Regional Farmers’ Market – Saturday,200 block of St. Paul St.,Kamloops
Kamloops Regional Farmers’ Market – Wednesday,465 Victoria St.,Kamloops
Kamloops Regional Farmers’ Market – Winter,471 Okanagan Way,Kamloops
Kweseltken Farmers’ and Art,345 Powwow Trail,Kamloops
Kelowna Farmers’ and Crafters’ Market,Springfield Rd. and Dilworth Dr.,Kelowna
Kelowna Farmers’ and Crafters’ Market – Downtown,Bernard Ave. and St. Paul St.,Kelowna
Kelowna Farmers’ and Crafters’ Market – Winter,1800 Parkinson Way,Kelowna
Lower Nicola Community Farmers Market,2383 Aberdeen Road,Lower Nicola
Nicola Valley Farmers’ Market,2250 Voght St.,Merritt
Naramata Community Farmers’ Market,Old Main Road,Naramata
District Wine Village Night Market,100 Enterprise Way,Oliver
Osoyoos Farmers’ Market On Main,8707 Main St.,Osoyoos
Osoyoos Farmers’ Market on Main – Winter,8505 68th Avenue,Osoyoos
Penticton Farmers’ Market,100 block of Main St.,Pentiction
All Organic Farmers’ Market,2701 11 Ave. NE,Salmon Arm
Downtown Salmon Arm Farmers’ Market,Ross Street Plaza,Salmon Arm
Salmon Arm Community Market,4940 Canoe Beach Drive,Salmon Arm
Scotch Creek Farm and Craft Market,4113 Squilax-Anglemont Hwy.,Scotch Creek
Sicamous Farmers’ Market,322 Main Street,Sicamous
Sorrento Village Farmers’ Market,1240 Trans Canada Hwy.,Sorrento
Vernon Farmers’ Market,3445 43 Ave,Vernon
Vernon Indoor Farmers’ Market,3445 43rd Ave.,Vernon
Pier Street Farmers Market & Arts Fair,"540, 560, 580 10th Ave.",Campbell River
Comox Valley Farmers’ Market – Downtown Courtenay,407 5th St.,Courtenay
Comox Valley Farmers’ Market – Fall/Winter,360 Cliffe Ave.,Courtenay
Comox Valley Farmers’ Market – Saturday,4830 Headquarters Rd.,Courtenay
Comox Valley Farmers’ Market – Cumberland,2739 Dunsmuir Ave.,Cumberland
Denman Island Farmers’ Market,1591 Denman Rd.,Denman Island
Duncan Farmers’ Market,200 Craig St.,Duncan
Errington Farmers’ Market,1550 Veterans Rd.,Errington
Gabriola Farmers’ Market,465 South Road,Gabriola Island
Esquimalt Farmers’ Market,Esquimalt Memorial Park,Esquimalt
Esquimalt Farmers’ Market - Winter,Esquimalt Rec Centre,Esquimalt
North Saanich Farm Market,10990 West Saanich Rd.,North Saanich
Peninsula Country Market,1528 Stelly's Cross Rd.,Saanichton
Sooke Country Market,2201 Otter Point Rd,Sooke
James Bay Community Market,494 Superior St.,Victoria
Moss Street Market,1330 Fairfield Rd.,Victoria
Cedar Farmers’ Market,1984 Woobank Road,Nanaimo
Island Roots Market Co-op,2300 Bowen Rd.,Nanaimo
Nanaimo Downtown Farmers’ Market,90 Waterfront Plaza,Nanaimo
Pender Island Farmers’ Market,4418 Bedwell Harbour Rd.,Pender Island
Spirit Square Farmers’ Market,5440 Argyle St.,Port Alberni
Port Hardy Farmers’ and Artisans’ Market,7250 Market St.,Port Hardy
Port McNeill Farmers’ and Artisans’ Market,1594 Beach Dr.,Port McNeill
Qualicum Beach Farmers’ Market,644 Memorial Ave.,Qualicum Beach
Salt Spring Tuesday Farmers’ Market,100 Fulford-Ganges Rd.,Salt Spring Island
Sooke Night Market,2070 Phillips Rd.,Sooke
Oaklands Sunset Market,1-2827 Belmont Ave.,Victoria
