Direct sales,All farms reporting 5,Farms reporting unprocessed agricultural products sold,Farms reporting value-added products sold,"Farms reporting using farm gate sales, stands, kiosks, U-pick",Farms reporting using farmers' markets,Farms reporting using Community Supported Agriculture (CSA),Farms reporting using other methods
Geography 1 2 3 4,2016,2016,2016,2016,2016,2016,2016
,Number,,,,,,
"North Saanich, British Columbia [CCS590117005]",45,44,9,41,17,3,0
"Central Saanich, British Columbia [CCS590117015]",119,118,11,114,20,6,1
"Saanich, British Columbia [CCS590117021]",150,148,20,135,21,5,7
"Saltspring Island, British Columbia [CCS590117027]",126,122,22,115,24,12,2
"Southern Gulf Islands, British Columbia [CCS590117029]",55,52,10,49,21,6,3
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",121,121,12,107,29,11,8
"North Cowichan, British Columbia [CCS590119008]",195,187,26,182,34,16,7
"Cowichan Valley G, British Columbia [CCS590119015]",39,38,7,38,10,1,0
"Cowichan Valley F, British Columbia [CCS590119033]",8,8,0,8,1,0,0
"Cowichan Valley B, British Columbia [CCS590119046]",98,96,9,93,16,5,2
"Nanaimo, British Columbia [CCS590121007]",117,117,7,110,27,4,4
"Nanaimo C, British Columbia [CCS590121016]",33,32,5,32,5,0,3
"Nanaimo E, British Columbia [CCS590121030]",15,15,3,14,4,1,0
"Nanaimo F, British Columbia [CCS590121032]",52,50,6,47,11,0,2
"Nanaimo G, British Columbia [CCS590121034]",28,27,6,25,9,0,0
"Nanaimo H, British Columbia [CCS590121036]",15,15,2,12,4,0,0
"Alberni-Clayoquot B, British Columbia [CCS590123033]",22,22,2,20,6,1,0
"Alberni-Clayoquot D, British Columbia [CCS590123035]",9,9,3,8,1,0,0
"Alberni-Clayoquot F, British Columbia [CCS590123039]",14,14,1,13,5,0,0
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",26,26,0,24,7,2,1
"Strathcona C, British Columbia [CCS590124054]",20,20,4,18,8,2,1
"Comox Valley A, British Columbia [CCS590126021]",59,57,15,49,21,3,2
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",65,65,11,59,16,2,0
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",88,83,18,80,24,2,2
"Powell River A, British Columbia [CCS590127010]",23,23,3,20,9,0,1
"Powell River C, British Columbia [CCS590127016]",15,15,2,13,6,0,0
"Powell River E, British Columbia [CCS590127020]",19,18,6,18,10,0,0
"Mount Waddington C, British Columbia [CCS590143031]",5,5,1,3,3,0,1
"Central Coast A, British Columbia [CCS590145006]",12,12,1,11,2,0,0
"Fraser Valley B, British Columbia [CCS590209016]",19,18,2,18,1,1,1
"Fraser Valley D, British Columbia [CCS590209034]",30,29,4,25,8,1,1
"Fraser Valley E, British Columbia [CCS590209036]",220,214,14,192,39,12,12
"Abbotsford, British Columbia [CCS590209052]",256,251,20,223,56,13,10
"Fraser Valley F, British Columbia [CCS590209060]",64,61,5,57,8,2,7
"Fraser Valley G, British Columbia [CCS590209062]",10,10,1,9,2,0,0
"Langley, British Columbia [CCS590215001]",345,339,26,327,39,5,8
"Surrey, British Columbia [CCS590215004]",119,116,9,104,16,6,10
"Delta, British Columbia [CCS590215011]",33,33,3,28,5,6,1
"Richmond, British Columbia [CCS590215015]",70,69,3,60,11,4,0
"Greater Vancouver A, British Columbia [CCS590215020]",38,37,4,33,14,2,1
"Vancouver, British Columbia [CCS590215022]",18,18,2,13,6,6,2
"Burnaby, British Columbia [CCS590215025]",9,9,0,5,3,0,1
"Pitt Meadows, British Columbia [CCS590215070]",36,36,2,34,4,1,2
"Maple Ridge, British Columbia [CCS590215075]",101,100,3,95,11,1,4
"Sunshine Coast A, British Columbia [CCS590229018]",58,58,10,45,21,2,4
"Squamish-Lillooet C, British Columbia [CCS590231017]",38,38,2,29,14,8,2
"Squamish-Lillooet B, British Columbia [CCS590231034]",17,16,4,14,8,2,1
"Okanagan-Similkameen A, British Columbia [CCS590307022]",33,31,2,24,11,1,0
"Okanagan-Similkameen B, British Columbia [CCS590307026]",40,38,4,31,20,5,2
"Okanagan-Similkameen C, British Columbia [CCS590307028]",72,69,10,58,21,5,3
"Okanagan-Similkameen D, British Columbia [CCS590307047]",58,52,9,50,16,2,2
"Okanagan-Similkameen E, British Columbia [CCS590307049]",20,17,7,20,5,1,0
"Okanagan-Similkameen F, British Columbia [CCS590307051]",79,77,7,76,19,2,2
"Okanagan-Similkameen G, British Columbia [CCS590307053]",46,44,8,40,7,1,1
"Okanagan-Similkameen H, British Columbia [CCS590307055]",14,14,1,13,3,0,0
"Thompson-Nicola M (Beautiful Nicola Valley - North), British Columbia [CCS590333008]",9,9,0,9,0,0,0
"Thompson-Nicola N (Beautiful Nicola Valley - South), British Columbia [CCS590333012]",20,20,0,18,3,2,1
"Thompson-Nicola E (Bonaparte Plateau), British Columbia [CCS590333032]",22,21,2,20,1,0,2
"Thompson-Nicola I (Blue Sky Country), British Columbia [CCS590333037]",31,31,1,22,11,1,2
"Thompson-Nicola J (Copper Desert Country), British Columbia [CCS590333039]",21,21,1,19,4,1,2
"Thompson-Nicola P (Rivers and the Peaks), British Columbia [CCS590333044]",106,103,8,88,14,3,10
"Thompson-Nicola L (Grasslands), British Columbia [CCS590333060]",76,76,5,66,17,4,4
"Thompson-Nicola A (Wells Gray Country), British Columbia [CCS590333068]",23,23,3,21,5,1,1
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",3,3,0,3,0,0,0
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",37,36,7,31,7,0,3
"Central Okanagan, British Columbia [CCS590335012]",281,272,26,261,57,8,10
"Central Okanagan J, British Columbia [CCS590335020]",48,46,4,46,9,2,2
"North Okanagan B, British Columbia [CCS590337017]",108,106,10,99,23,3,2
"North Okanagan D, British Columbia [CCS590337022]",33,32,1,27,8,3,2
"North Okanagan E, British Columbia [CCS590337023]",8,7,2,8,2,0,0
"Spallumcheen, British Columbia [CCS590337024]",98,96,8,89,24,3,3
"North Okanagan F, British Columbia [CCS590337041]",41,40,2,35,10,3,2
"Columbia-Shuswap A, British Columbia [CCS590339011]",15,15,1,12,6,0,0
"Columbia-Shuswap C, British Columbia [CCS590339037]",22,22,1,21,3,0,0
"Columbia-Shuswap D, British Columbia [CCS590339039]",98,96,6,88,17,1,5
"Columbia-Shuswap E, British Columbia [CCS590339043]",15,15,1,14,4,1,1
"Columbia-Shuswap F, British Columbia [CCS590339044]",8,7,1,8,2,1,0
"East Kootenay A, British Columbia [CCS590401017]",14,14,0,14,4,2,1
"East Kootenay B, British Columbia [CCS590401019]",10,10,2,9,4,0,1
"East Kootenay C, British Columbia [CCS590401035]",38,37,5,33,15,0,1
"East Kootenay E, British Columbia [CCS590401037]",9,9,0,7,2,0,1
"East Kootenay F, British Columbia [CCS590401046]",13,13,1,13,6,1,0
"East Kootenay G, British Columbia [CCS590401048]",9,9,1,7,2,1,1
"Central Kootenay A, British Columbia [CCS590403010]",6,6,0,4,4,0,0
"Central Kootenay B, British Columbia [CCS590403013]",78,74,10,71,22,1,3
"Central Kootenay C, British Columbia [CCS590403017]",25,24,3,23,10,1,0
"Central Kootenay D, British Columbia [CCS590403039]",12,12,1,6,9,2,0
"Central Kootenay E, British Columbia [CCS590403041]",34,33,2,28,10,2,2
"Central Kootenay G, British Columbia [CCS590403047]",11,11,0,10,5,1,1
"Central Kootenay H, British Columbia [CCS590403052]",45,45,7,38,18,1,3
"Central Kootenay J, British Columbia [CCS590403058]",21,21,0,16,4,0,4
"Central Kootenay K, British Columbia [CCS590403060]",17,17,2,15,6,2,1
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",15,15,0,14,3,0,0
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",35,32,7,31,10,2,1
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",39,37,7,33,6,1,4
"Cariboo D, British Columbia [CCS590541010]",21,21,3,15,10,2,1
"Cariboo E, British Columbia [CCS590541012]",15,15,1,12,4,1,1
"Cariboo F, British Columbia [CCS590541014]",44,43,5,40,10,0,3
"Cariboo G, British Columbia [CCS590541015]",16,16,0,16,2,1,0
"Cariboo H, British Columbia [CCS590541016]",15,15,1,13,2,0,1
"Cariboo L, British Columbia [CCS590541017]",24,24,1,23,5,0,1
"Cariboo A, British Columbia [CCS590541019]",33,33,2,29,9,0,2
"Cariboo B, British Columbia [CCS590541021]",17,17,1,16,2,0,1
"Cariboo C, British Columbia [CCS590541026]",3,3,0,3,0,0,0
"Cariboo I, British Columbia [CCS590541027]",8,8,1,6,1,0,2
"Cariboo J, British Columbia [CCS590541039]",9,9,2,9,1,1,0
"Cariboo K, British Columbia [CCS590541041]",9,9,0,7,2,1,0
"Fraser-Fort George H, British Columbia [CCS590553019]",25,23,4,19,8,1,1
"Fraser-Fort George A, British Columbia [CCS590553038]",22,22,0,20,5,0,1
"Fraser-Fort George C, British Columbia [CCS590553042]",41,39,4,35,5,1,4
"Fraser-Fort George D, British Columbia [CCS590553044]",20,18,6,19,5,0,2
"Fraser-Fort George E, British Columbia [CCS590553046]",7,7,0,6,1,1,1
"Fraser-Fort George F, British Columbia [CCS590553048]",15,15,1,12,3,2,0
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",10,10,1,4,8,1,0
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",29,29,5,26,6,1,1
"Kitimat-Stikine B, British Columbia [CCS590649028]",17,17,2,14,6,1,3
"Bulkley-Nechako C, British Columbia [CCS590751015]",9,8,2,8,2,0,0
"Bulkley-Nechako D, British Columbia [CCS590751017]",13,12,3,11,3,1,2
"Bulkley-Nechako F, British Columbia [CCS590751019]",47,47,2,40,7,1,6
"Bulkley-Nechako B, British Columbia [CCS590751028]",9,9,0,9,1,0,0
"Bulkley-Nechako E, British Columbia [CCS590751031]",13,13,2,12,1,0,0
"Bulkley-Nechako A, British Columbia [CCS590751051]",61,59,8,56,11,3,4
"Bulkley-Nechako G, British Columbia [CCS590751053]",12,12,1,11,1,0,1
"Stikine Region, British Columbia [CCS590757022]",0,0,0,0,0,0,0
"Peace River D, British Columbia [CCS590855021]",42,40,5,37,8,2,1
"Peace River E, British Columbia [CCS590855023]",13,12,1,12,1,0,1
"Peace River B, British Columbia [CCS590855040]",41,41,3,35,5,2,3
"Peace River C, British Columbia [CCS590855042]",11,11,1,10,0,1,0
"Northern Rockies, British Columbia [CCS590859007]",6,6,2,4,3,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Footnotes:,,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm""> 2016 Reference maps</a> provide the geographic boundaries"," codes and names for all geographic areas appearing in the data tables.""",,,,,
2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the <a href=http://www.statcan.gc.ca/pub/95-630-x/2017000/geo-eng.htm"">2016 Geographic area amalgamations</a>.""",,,,,,
3,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,,,,,
4,"Census agricultural regions are composed of groups of adjacent census divisions. Prior to 2016, in Saskatchewan, census agricultural regions were made up of groups of census consolidated subdivisions, but these groups did not necessarily respect census division boundaries.",,,,,,
5,"The number of farms reporting"" does not equal the sum of the parts because farms reporting more than one category (or activity) are only counted once.""",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"How to cite: Statistics Canada. Table 32-10-0447-01  Direct sales of agricultural products to consumers, Census of Agriculture, 2016",,,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210044701,,,,,,,
