Vegetables,Total vegetables (excluding greenhouse vegetables) ,,,,,
Unit of measure,Number of farms reporting,,Acres,,Hectares,
Geography 1 2 3 4 5 6,2011,2016,2011,2016,2011,2016
Canada [000000000] 3,"9,057","9,994","267,665","270,294","108,320","109,384"
"North Saanich, British Columbia [CCS590117005]",21,20,46,27,19,11
"Central Saanich, British Columbia [CCS590117015]",49,52,555,644,225,261
"Saanich, British Columbia [CCS590117021]",77,69,188,113,76,46
"Saltspring Island, British Columbia [CCS590117027]",80,84,116,110,47,45
"Southern Gulf Islands, British Columbia [CCS590117029]",32,38,61,68,25,28
"Juan de Fuca (Part 2), British Columbia [CCS590117056]",51,48,55,69,22,28
"North Cowichan, British Columbia [CCS590119008]",64,67,131,122,53,49
"Cowichan Valley G, British Columbia [CCS590119015]",16,13,29,58,12,23
"Cowichan Valley F, British Columbia [CCS590119033]",6,3,6,16,2,6
"Cowichan Valley B, British Columbia [CCS590119046]",24,31,52,33,21,13
"Nanaimo, British Columbia [CCS590121007]",36,56,44,x,18,x
"Nanaimo C, British Columbia [CCS590121016]",11,9,12,x,5,x
"Nanaimo E, British Columbia [CCS590121030]",4,7,8,9,3,4
"Nanaimo F, British Columbia [CCS590121032]",19,18,90,89,36,36
"Nanaimo G, British Columbia [CCS590121034]",10,18,26,37,11,15
"Nanaimo H, British Columbia [CCS590121036]",8,7,7,6,3,2
"Alberni-Clayoquot B, British Columbia [CCS590123033]",8,15,10,x,4,x
"Alberni-Clayoquot D, British Columbia [CCS590123035]",4,5,x,x,x,x
"Alberni-Clayoquot F, British Columbia [CCS590123039]",1,5,x,x,x,x
"Alberni-Clayoquot A, British Columbia [CCS590123047]",0,0,0,0,0,0
"Strathcona D, [Oyster Bay - Buttle Lake], British Columbia [CCS590124042]",12,16,18,21,7,8
"Strathcona C, British Columbia [CCS590124054]",14,15,30,26,12,11
"Comox Valley A, British Columbia [CCS590126021]",29,28,48,41,19,17
"Comox Valley B, [Lazo North], British Columbia [CCS590126022]",10,29,68,107,28,43
"Comox Valley C, [Puntledge - Black Creek], British Columbia [CCS590126024]",32,26,39,96,16,39
"Powell River A, British Columbia [CCS590127010]",10,13,12,x,5,x
"Powell River C, British Columbia [CCS590127016]",6,6,8,8,3,3
"Powell River E, British Columbia [CCS590127020]",19,13,43,x,17,x
"Mount Waddington C, British Columbia [CCS590143031]",..,3,..,x,..,x
"Central Coast A, British Columbia [CCS590145006]",6,3,5,x,2,x
"Fraser Valley B, British Columbia [CCS590209016]",3,4,5,4,2,2
"Fraser Valley D, British Columbia [CCS590209034]",13,17,37,48,15,19
"Fraser Valley E, British Columbia [CCS590209036]",69,87,"2,229","1,074",902,435
"Abbotsford, British Columbia [CCS590209052]",78,111,"3,147","3,562","1,274","1,441"
"Fraser Valley F, British Columbia [CCS590209060]",8,20,11,36,4,15
"Fraser Valley G, British Columbia [CCS590209062]",4,5,4,37,2,15
"Langley, British Columbia [CCS590215001]",83,113,391,359,158,145
"Surrey, British Columbia [CCS590215004]",68,71,"2,072","2,057",839,832
"Delta, British Columbia [CCS590215011]",45,47,"2,443","2,433",989,985
"Richmond, British Columbia [CCS590215015]",46,54,771,904,312,366
"Greater Vancouver A, British Columbia [CCS590215020]",19,25,36,39,15,16
"Vancouver, British Columbia [CCS590215022]",12,10,14,18,6,7
"Burnaby, British Columbia [CCS590215025]",25,25,240,156,97,63
"Pitt Meadows, British Columbia [CCS590215070]",6,7,23,50,9,20
"Maple Ridge, British Columbia [CCS590215075]",24,36,67,72,27,29
"Sunshine Coast A, British Columbia [CCS590229018]",29,33,39,47,16,19
"Squamish-Lillooet C, British Columbia [CCS590231017]",..,24,..,85,..,34
"Squamish-Lillooet D, British Columbia [CCS590231021] (Terminated)",23t,..t,100t,..t,40t,..t
"Squamish-Lillooet B, British Columbia [CCS590231034]",7,6,13,35,5,14
"Okanagan-Similkameen A, British Columbia [CCS590307022]",16,13,55,x,22,x
"Okanagan-Similkameen B, British Columbia [CCS590307026]",39,30,166,x,67,x
"Okanagan-Similkameen C, British Columbia [CCS590307028]",52,34,275,276,111,112
"Okanagan-Similkameen D, British Columbia [CCS590307047]",17,20,21,40,8,16
"Okanagan-Similkameen E, British Columbia [CCS590307049]",5,6,4,x,2,x
"Okanagan-Similkameen F, British Columbia [CCS590307051]",15,28,12,42,5,17
"Okanagan-Similkameen G, British Columbia [CCS590307053]",29,23,104,x,42,x
"Okanagan-Similkameen H, British Columbia [CCS590307055]",4,2,3,x,1,x
"Thompson-Nicola M (Beautiful Nicola Valley - North), British Columbia [CCS590333008]",2,2,x,x,x,x
"Thompson-Nicola N (Beautiful Nicola Valley - South), British Columbia [CCS590333012]",3,2,5,x,2,x
"Thompson-Nicola E (Bonaparte Plateau), British Columbia [CCS590333032]",3,4,x,x,x,x
"Thompson-Nicola I (Blue Sky Country), British Columbia [CCS590333037]",22,19,242,453,98,183
"Thompson-Nicola J (Copper Desert Country), British Columbia [CCS590333039]",4,2,9,x,4,x
"Thompson-Nicola P (Rivers and the Peaks), British Columbia [CCS590333044]",27,27,165,171,67,69
"Thompson-Nicola L (Grasslands), British Columbia [CCS590333060]",20,17,76,73,31,30
"Thompson-Nicola A (Wells Gray Country), British Columbia [CCS590333068]",6,6,10,8,4,3
"Thompson-Nicola B (Thompson Headwaters), British Columbia [CCS590333070]",0,0,0,0,0,0
"Thompson-Nicola O (Lower North Thompson), British Columbia [CCS590333072]",12,10,15,18,6,7
"Central Okanagan, British Columbia [CCS590335012]",88,104,366,272,148,110
"Central Okanagan J, British Columbia [CCS590335020]",19,17,37,27,15,11
"North Okanagan B, British Columbia [CCS590337017]",34,42,114,109,46,44
"North Okanagan D, British Columbia [CCS590337022]",9,13,29,39,12,16
"North Okanagan E, British Columbia [CCS590337023]",5,1,5,x,2,x
"Spallumcheen, British Columbia [CCS590337024]",31,43,244,x,99,x
"North Okanagan F, British Columbia [CCS590337041]",17,12,37,55,15,22
"Columbia-Shuswap A, British Columbia [CCS590339011]",4,8,3,11,1,4
"Columbia-Shuswap C, British Columbia [CCS590339037]",12,13,42,15,17,6
"Columbia-Shuswap D, British Columbia [CCS590339039]",30,39,127,57,51,23
"Columbia-Shuswap E, British Columbia [CCS590339043]",6,10,7,35,3,14
"Columbia-Shuswap F, British Columbia [CCS590339044]",6,4,11,9,4,4
"East Kootenay A, British Columbia [CCS590401017]",2,7,x,x,x,x
"East Kootenay B, British Columbia [CCS590401019]",2,5,x,6,x,2
"East Kootenay C, British Columbia [CCS590401035]",8,10,10,16,4,6
"East Kootenay E, British Columbia [CCS590401037]",1,5,x,x,x,x
"East Kootenay F, British Columbia [CCS590401046]",5,4,9,x,4,x
"East Kootenay G, British Columbia [CCS590401048]",5,5,15,7,6,3
"Central Kootenay A, British Columbia [CCS590403010]",5,4,6,7,2,3
"Central Kootenay B, British Columbia [CCS590403013]",19,35,46,79,19,32
"Central Kootenay C, British Columbia [CCS590403017]",7,7,x,x,x,x
"Central Kootenay D, British Columbia [CCS590403039]",8,10,12,29,5,12
"Central Kootenay E, British Columbia [CCS590403041]",11,17,10,22,4,9
"Central Kootenay G, British Columbia [CCS590403047]",2,5,x,x,x,x
"Central Kootenay H, British Columbia [CCS590403052]",26,27,29,x,12,x
"Central Kootenay J, British Columbia [CCS590403058]",9,11,38,16,15,6
"Central Kootenay K, British Columbia [CCS590403060]",8,8,14,x,6,x
"Kootenay Boundary B / Lower Columbia-Old-Glory, British Columbia [CCS590405030]",4,3,6,3,2,1
"Kootenay Boundary D / Rural Grand Forks, British Columbia [CCS590405052]",16,21,34,59,14,24
"Kootenay Boundary E / West Boundary, British Columbia [CCS590405054]",11,12,17,13,7,5
"Cariboo D, British Columbia [CCS590541010]",4,10,x,85,x,34
"Cariboo E, British Columbia [CCS590541012]",1,2,x,x,x,x
"Cariboo F, British Columbia [CCS590541014]",6,10,4,14,2,6
"Cariboo G, British Columbia [CCS590541015]",5,7,6,33,2,13
"Cariboo H, British Columbia [CCS590541016]",4,3,3,3,1,1
"Cariboo L, British Columbia [CCS590541017]",2,5,x,x,x,x
"Cariboo A, British Columbia [CCS590541019]",8,7,19,12,8,5
"Cariboo B, British Columbia [CCS590541021]",3,1,4,x,2,x
"Cariboo C, British Columbia [CCS590541026]",1,1,x,x,x,x
"Cariboo I, British Columbia [CCS590541027]",3,5,8,29,3,12
"Cariboo J, British Columbia [CCS590541039]",1,1,x,x,x,x
"Cariboo K, British Columbia [CCS590541041]",3,3,12,x,5,x
"Fraser-Fort George H, British Columbia [CCS590553019]",10,18,17,25,7,10
"Fraser-Fort George A, British Columbia [CCS590553038]",3,2,x,x,x,x
"Fraser-Fort George C, British Columbia [CCS590553042]",4,12,9,x,4,x
"Fraser-Fort George D, British Columbia [CCS590553044]",4,3,11,x,4,x
"Fraser-Fort George E, British Columbia [CCS590553046]",1,0,x,0,x,0
"Fraser-Fort George F, British Columbia [CCS590553048]",1,4,x,8,x,3
"Skeena-Queen Charlotte C, British Columbia [CCS590647021]",0,0,0,0,0,0
"Skeena-Queen Charlotte D, British Columbia [CCS590647027]",5,5,13,x,5,x
"Skeena-Queen Charlotte E, British Columbia [CCS590647032]",0,0,0,0,0,0
"Kitimat-Stikine C (Part 1), British Columbia [CCS590649013]",6,13,9,39,4,16
"Kitimat-Stikine B, British Columbia [CCS590649028]",5,9,4,15,2,6
"Kitimat-Stikine A, British Columbia [CCS590649039] (Terminated)",0t,..t,0t,..t,0t,..t
"Bulkley-Nechako C, British Columbia [CCS590751015]",1,1,x,x,x,x
"Bulkley-Nechako D, British Columbia [CCS590751017]",4,2,5,x,2,x
"Bulkley-Nechako F, British Columbia [CCS590751019]",7,6,15,9,6,4
"Bulkley-Nechako B, British Columbia [CCS590751028]",3,1,4,x,2,x
"Bulkley-Nechako E, British Columbia [CCS590751031]",1,1,x,x,x,x
"Bulkley-Nechako A, British Columbia [CCS590751051]",17,14,25,21,10,8
"Bulkley-Nechako G, British Columbia [CCS590751053]",2,0,x,0,x,0
"Stikine Region, British Columbia [CCS590757022]",..,0,..,0,..,0
"Peace River D, British Columbia [CCS590855021]",7,9,22,17,9,7
"Peace River E, British Columbia [CCS590855023]",3,1,x,x,x,x
"Peace River B, British Columbia [CCS590855040]",6,8,13,38,5,15
"Peace River C, British Columbia [CCS590855042]",0,2,0,x,0,x
"Northern Rockies, British Columbia [CCS590859007]",2,4,x,x,x,x
,,,,,,
Symbol legend:,,,,,,
.., not available for a specific reference period,,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Footnotes:,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. Reference maps provide the geographic boundaries, codes and names for all geographic areas appearing in the data tables. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm"">2016 Reference maps</a> or <a href=""http://www.statcan.gc.ca/ca-ra2011/110006-eng.htm"">2011 Reference maps</a>.""",,,,,
2,"Due to confidentiality constraints, the data for one or more geographic areas having very few farms may be combined with the data from another census consolidated subdivision or census division. For the names of the geographic areas amalgamated access the <a href=http://www.statcan.gc.ca/pub/95-630-x/2017000/geo-eng.htm"">2016 Geographic area amalgamations</a> or the <a href=""http://www.statcan.gc.ca/eng/ca2011/110005/geo"">2011 Geographic area amalgamations</a>.""",,,,,
3,"The Yukon, Northwest Territories and Nunavut are not included in Canada totals.",,,,,
4,The data for the Yukon are not included in the national totals because of the different definition of an agricultural operation in the territories and confidentiality constraints.,,,,,
5,"There are significant refinements in the geographic assignment of agricultural operations and changes in census consolidated subdivision boundaries between censuses. These assignment and boundary changes mean that caution should be taken when comparing the data between censuses. This effect is particularly pronounced when comparing 2016 Census of Agriculture data to previous census data in Prince Edward Island, Quebec and the Northwest Territories.",,,,,
6,"Census agricultural regions are composed of groups of adjacent census divisions. Prior to 2016, in Saskatchewan, census agricultural regions were made up of groups of census consolidated subdivisions, but these groups did not necessarily respect census division boundaries.",,,,,
7,"The number of farms reporting"" does not equal the sum of the parts because farms reporting more than one category (or activity) are only counted once.""",,,,,
,,,,,,
,,,,,,
,,,,,,
"How to cite: Statistics Canada. Table 32-10-0418-01  Field vegetables, Census of Agriculture, 2011 and 2016",,,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210041801,,,,,,
